Küche;Anzahl;Ertrag;Aufwand;Gewinn;2022;Budget 2023
italienisch;4;CHF 6'000;CHF 1'037;CHF 4'963;CHF 4'963;CHF 7'213
amerikanisch;3;;;;;
schweizerisch;3;;;;;
asiatisch;2;;;;;
äthiopisch;1;;;;;
chinesisch;1;;;;;
französisch;1;;;;;
japanisch;1;;;;;
karibisch;1;;;;;
libanesisch;1;;;;;
mexikanisch;1;;;;;
österreichisch;1;;;;;
spanisch;1;;;;;
türkisch;1;;;;;
